"HolderAddress","Quantity","PendingBalanceUpdate"
"0x8d7c3921ecf289a2c272529d0bd57f9c2e3f997a","6","No"
"0x8d894500675c860d86619cc77742b8dca7ef74e2","6","No"
"0x8ec2ba6d8a8726c18efad00c3f5db9d0c48647f4","6","No"
"0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459","6","No"
"0x1cb617af52dca15fc73887fdf05f6b79baa23f9c","5","No"
"0x1e98e2eed6917f0ee86e79aa4dc796c20089a517","5","No"
"0x37b2199f06ce7c100bb2a4c45bfc0bd895bd5c00","5","No"
"0x423aa33d6317eab368c7027c97b2ad98b9797577","5","No"
"0x44e9d011df8741be2493e99297e9ad67bb1aa85b","5","No"
"0x4ba63d7f1a65ebc8be640a5d6bee9c02336a154c","5","No"
"0x568f888e808621bde2f8f6511bfcf952732ae70c","5","No"
"0x5e7ba2e906012273619c31f32139038a79d18920","5","No"
"0x8c42313ff71b7c816365ea1b546e450838000578","5","No"
"0x9788e8a2de43664da334c3cf8f69041fe5858470","5","No"
"0x986ccf030a018f8190e7cf488ba9fec8df058199","5","No"
"0xa1acaddd259649d470b42c95738e5e89c8d8a233","5","No"
"0xc2f82a1f287b5b5aebff7c19e83e0a16cf3bd041","5","No"
"0xe4347d34d8c0c941926e84b56cb9dfcbcf4154fa","5","No"
"0xfacef700458d4fc9746f7f3e0d37b462711ff09e","5","No"
"0x05d48ee3e815bf376fc79d283301cfdef872e280","4","No"
"0x1e341aa44c293d95d13d778492d417d1be4e63d5","4","No"
"0x2334d91317950c19a6c21c69d69f5ab8a8f275fa","4","No"
"0x32ab4262df2c10ccc199f5f8e7332ed507ef3ea5","4","No"
"0x3401ea5a8d91c5e3944962c0148b08ac4a77f153","4","No"
"0x4410bb5accef3848bc7b64131ceb3d54740682e8","4","No"
"0x4813a27c8fd7e87de04b53af2d8c0450df110811","4","No"
"0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b","4","No"
"0x7df748c0587ffe7e30bb10d5e28d611d408591e4","4","No"
"0x98a70481d671cbc5f90c63f4da9523a96dc659ff","4","No"
"0xa47deaac5cb4deccc64fcd64ace2f698952aee2a","4","No"
"0xa7a0206154b0f3d4564cd643b285ed6d65d2c953","4","No"
"0xb6aa2932e1aa279f5da11c4450683bad037f2486","4","No"
"0xb789221616c7be137f33d545758f5510591d725e","4","No"
"0xce9332f4d44e9efccc64f88c9bd23e288c0ae5a2","4","No"
"0xd07f992158e06681d7ab949bd365150cbafbc281","4","No"
"0xd4854ff80a45c8039937d299f5e02ddfea4f4038","4","No"
"0xe9b95c6f15a6ffb1b5e6036eafd298a40db9cffc","4","No"
